K WHAT-A-MATRAKA
R LIFE-SAVERS-GUMMIES 4
O KIND-BAR-DARK-CHOCOLATE-NUT 7 6
R SKITTLES 1
P TASTYKAKE-HONEY-BUN 6
R DORITOS-NACHO-CHEESE 9
R MILKY-WAY 4
R POWERADE 1
R POCKY-CHOCOLATE 8
P DASANI-WATER 2
R SMARTWATER 5
R DORITOS-NACHO-CHEESE 4
R TIC-TAC-ORANGE 8
P GATORADE 8
R LAYS-BARBECUE 1
O TROPICANA-ORANGE-JUICE 10 5
O FIJI-WATER 4 2
R MILKY-WAY 3
R STARBUCKS-FRAPPUCCINO 4
R CHEETOS-FLAMIN'-HOT 3
O RITZ-CRACKERS 5 2
K WHAT-A-MATRAKA
R OREO 1
R SUN-CHIPS-HARVEST-CHEDDAR 6
R M&M 3
P FANTA-ORANGE 10
R KIND-BAR-DARK-CHOCOLATE-NUT 8
R MOUNTAIN-DEW 4
O COCA-COLA 10 1
R HARIBO-GOLD-BEARS 4
R MILKY-WAY 9
R GATORADE 6
M 6
R ALTOIDS-PEPPERMINT 7
R 3-MUSKETEERS 3
P CHEETOS-FLAMIN'-HOT 10
M 7
R PEPSI 4
R HOSTESS-TWINKIES 7
P NESQUIK-CHOCOLATE-MILK 10
P DORITOS-COOL-RANCH 8
O STARBUCKS-FRAPPUCCINO 6 3
R CHEETOS-CRUNCHY 9
P EXTRA-PEPPERMINT-GUM 1
R TIC-TAC-ORANGE 4
R HOSTESS-DONETTES-POWDERED 9
R PLANET-OATS-CHOCOLATE-MILK 2
R POCKY-CHOCOLATE 1
P CHEETOS-CRUNCHY 4
R LAYS-CLASSIC 6
R TIC-TAC-ORANGE 6
P LAYS-CLASSIC 10
R SKITTLES 4
R MOUNTAIN-DEW 9
R RED-BULL 4
R RED-BULL 2
M 1
P EXTRA-PEPPERMINT-GUM 5
R SNICKERS 7
R FANTA-ORANGE 4
R PRINGLES-SOUR-CREAM-&-ONION 2
O FANTA-ORANGE 6 7
R TWIX 4
R POWERADE 6
K WHAT-A-MATRAKA
R LIFE-SAVERS-GUMMIES 10
R LAYS-BARBECUE 2
P SPRITE 9
P TRIDENT-SPEARMINT-GUM 3
R LAYS-CLASSIC 6
R GATORADE 2
R DORITOS-COOL-RANCH 5
P DASANI-WATER 5
P MONSTER-ENERGY 9
R KIND-BAR-DARK-CHOCOLATE-NUT 5
R SPRITE 1
R STARBUCKS-FRAPPUCCINO 7
M 6
P DASANI-WATER 9
O OREO 10 2
R ALTOIDS-PEPPERMINT 7
R OREO 10
R SUN-CHIPS-HARVEST-CHEDDAR 5
O KIT-KAT 6 2
R SMARTWATER 3
R DORITOS-COOL-RANCH 6
O FIJI-WATER 7 6
R SNICKERS 8
R AQUAFINA-WATER 10
R AQUAFINA-WATER 3
O FANTA-ORANGE 5 8
O LIFE-SAVERS-GUMMIES 9 5
M 9
R OREO 9
R STARBUCKS-FRAPPUCCINO 9
O RITZ-CRACKERS 10 3
P LAYS-BARBECUE 8
R TASTYKAKE-HONEY-BUN 10
R HOSTESS-TWINKIES 4
R SUN-CHIPS-HARVEST-CHEDDAR 1
R CHEETOS-FLAMIN'-HOT 5
P NESTEA-LEMON-TEA 9
R LAYS-BARBECUE 5
R PRINGLES-ORIGINAL 6
R GATORADE 10
R MILKY-WAY 1
R MENTOS-FRUIT 4
R KIND-BAR-DARK-CHOCOLATE-NUT 2
O MILKY-WAY 6 3
K WHAT-A-MATRAKA
