O TWIX 5 2
M 5
R SUN-CHIPS-HARVEST-CHEDDAR 10
R KIND-BAR-DARK-CHOCOLATE-NUT 3
P HOSTESS-DONETTES-POWDERED 10
R PEPSI 2
P RED-BULL 2
R HARIBO-GOLD-BEARS 2
P PEPSI 10
R M&M 4
R DORITOS-NACHO-CHEESE 4
R MILKY-WAY 4
R PRINGLES-SOUR-CREAM-&-ONION 6
R SNICKERS 5
R FANTA-ORANGE 4
O LIFE-SAVERS-GUMMIES 10 9
R RITZ-CRACKERS 8
P TIC-TAC-ORANGE 1
K WHAT-A-MATRAKA
P COCA-COLA 9
R PEPSI 8
R NUTRI-GRAIN-STRAWBERRY 10
R SPRITE 8
P NESTEA-LEMON-TEA 6
R PRINGLES-ORIGINAL 1
R COCA-COLA 4
R M&M 3
R POCKY-CHOCOLATE 4
R SMARTWATER 10
P OREO 2
P CHEETOS-FLAMIN'-HOT 7
O MONSTER-ENERGY 6 5
P OREO 1
R KIT-KAT 9
P ALTOIDS-PEPPERMINT 3
R DASANI-WATER 5
R SPRITE 5
R TASTYKAKE-HONEY-BUN 5
R CLIF-BAR-CHOCOLATE-CHIP 4
R MILKY-WAY 3
R FIJI-WATER 10
O NESTEA-LEMON-TEA 4 2
R DORITOS-COOL-RANCH 7
O HOSTESS-DONETTES-POWDERED 3 3
P TROPICANA-ORANGE-JUICE 6
R TRIDENT-SPEARMINT-GUM 4
O TROPICANA-ORANGE-JUICE 2 1
R SPRITE 7
P RED-BULL 5
R DR-PEPPER 7
R 3-MUSKETEERS 9
R COCA-COLA 9
R FIJI-WATER 6
R OREO 10
R DASANI-WATER 6
P NESQUIK-CHOCOLATE-MILK 2
R TROPICANA-ORANGE-JUICE 7
R DASANI-WATER 8
R NUTRI-GRAIN-STRAWBERRY 6
O CHEETOS-FLAMIN'-HOT 6 6
M 5
P AQUAFINA-WATER 8
R ALTOIDS-PEPPERMINT 6
R HOSTESS-TWINKIES 9
R MOUNTAIN-DEW 1
K WHAT-A-MATRAKA
O DORITOS-COOL-RANCH 8 1
M 7
P HOSTESS-DONETTES-POWDERED 5
R EXTRA-PEPPERMINT-GUM 6
R LAYS-CLASSIC 6
R EXTRA-PEPPERMINT-GUM 7
R MENTOS-FRUIT 10
P SUN-CHIPS-HARVEST-CHEDDAR 5
R PLANET-OATS-CHOCOLATE-MILK 4
P EXTRA-PEPPERMINT-GUM 5
R ALTOIDS-PEPPERMINT 4
R TRIDENT-SPEARMINT-GUM 6
M 8
