M 6
R RITZ-CRACKERS 8
O RITZ-CRACKERS 2 4
R STARBUCKS-FRAPPUCCINO 9
P TRIDENT-SPEARMINT-GUM 9
P POWERADE 8
O DORITOS-COOL-RANCH 3 8
R SPRITE 10
P SMARTWATER 10
R OREO 3
R DASANI-WATER 10
R HARIBO-GOLD-BEARS 1
P PRINGLES-ORIGINAL 1
R MILKY-WAY 5
M 3
O SPRITE 10 2
M 7
M 10
R POWERADE 6
R MENTOS-FRUIT 7
R DORITOS-COOL-RANCH 6
R DORITOS-NACHO-CHEESE 1
P PLANET-OATS-CHOCOLATE-MILK 5
M 1
R POCKY-CHOCOLATE 1
R CHEETOS-CRUNCHY 6
R STARBUCKS-FRAPPUCCINO 9
M 6
R PEPSI 5
M 6
O LAYS-BARBECUE 1 6
P NESTEA-LEMON-TEA 3
R SPRITE 6
P STARBURST 6
O PLANET-OATS-CHOCOLATE-MILK 10 3
O STARBURST 10 5
R DORITOS-NACHO-CHEESE 5
R POCKY-CHOCOLATE 3
P HARIBO-GOLD-BEARS 6
P SUN-CHIPS-HARVEST-CHEDDAR 8
R MOUNTAIN-DEW 3
P RITZ-CRACKERS 2
M 5
R PLANET-OATS-CHOCOLATE-MILK 10
R SUN-CHIPS-HARVEST-CHEDDAR 2
R SNICKERS 5
R TROPICANA-ORANGE-JUICE 1
P PEPSI 3
O SPRITE 1 6
K WHAT-A-MATRAKA
P TROPICANA-ORANGE-JUICE 3
O COCA-COLA 8 10
R DR-PEPPER 8
P STARBUCKS-FRAPPUCCINO 9
M 7
R SPRITE 3
O DASANI-WATER 10 1
O PLANET-OATS-CHOCOLATE-MILK 9 10
R PRINGLES-ORIGINAL 9
R RITZ-CRACKERS 1
P DORITOS-NACHO-CHEESE 1
R STARBURST 8
R FANTA-ORANGE 9
R LIFE-SAVERS-GUMMIES 2
P CLIF-BAR-CHOCOLATE-CHIP 4
R TIC-TAC-ORANGE 1
P RED-BULL 5
P SUN-CHIPS-HARVEST-CHEDDAR 5
R NESTEA-LEMON-TEA 2
K WHAT-A-MATRAKA
R COCA-COLA 5
O SKITTLES 2 6
R TRIDENT-SPEARMINT-GUM 2
R HOSTESS-TWINKIES 3
P PLANET-OATS-CHOCOLATE-MILK 6
R STARBURST 6
O DORITOS-COOL-RANCH 7 8
R TIC-TAC-ORANGE 10
R NESQUIK-CHOCOLATE-MILK 1
O TASTYKAKE-HONEY-BUN 1 7
R NESQUIK-CHOCOLATE-MILK 1
R NUTRI-GRAIN-STRAWBERRY 10
M 4
P PRINGLES-ORIGINAL 2
R TROPICANA-ORANGE-JUICE 1
