K WHAT-A-MATRAKA
R TIC-TAC-ORANGE 2
R POCKY-CHOCOLATE 2
R COCA-COLA 7
R KIT-KAT 4
M 9
P SNICKERS 4
P SPRITE 1
R COCA-COLA 7
O KIND-BAR-DARK-CHOCOLATE-NUT 8 1
R TIC-TAC-ORANGE 8
R ALTOIDS-PEPPERMINT 2
P FANTA-ORANGE 7
R NUTRI-GRAIN-STRAWBERRY 9
P TWIX 9
M 5
P TROPICANA-ORANGE-JUICE 7
R LIFE-SAVERS-GUMMIES 10
R DORITOS-COOL-RANCH 10
R M&M 4
O DASANI-WATER 1 2
R 3-MUSKETEERS 3
R GATORADE 8
R PLANET-OATS-CHOCOLATE-MILK 6
R AQUAFINA-WATER 3
R SKITTLES 8
R MENTOS-FRUIT 2
P PEPSI 6
O MILKY-WAY 9 4
R COCA-COLA 7
R CLIF-BAR-CHOCOLATE-CHIP 7
R HOSTESS-TWINKIES 8
R PEPSI 6
R PEPSI 10
P TROPICANA-ORANGE-JUICE 7
R CHEETOS-CRUNCHY 7
P SKITTLES 7
R OREO 7
R LIFE-SAVERS-GUMMIES 7
R RITZ-CRACKERS 5
P PLANET-OATS-CHOCOLATE-MILK 9
R ALTOIDS-PEPPERMINT 7
R HOSTESS-TWINKIES 6
P HARIBO-GOLD-BEARS 3
R PLANET-OATS-CHOCOLATE-MILK 7
R STARBURST 9
R SUN-CHIPS-HARVEST-CHEDDAR 2
O SPRITE 7 2
R PLANET-OATS-CHOCOLATE-MILK 9
R KIT-KAT 9
P GATORADE 8
R TRIDENT-SPEARMINT-GUM 7
R TASTYKAKE-HONEY-BUN 6
R DORITOS-NACHO-CHEESE 3
R PRINGLES-SOUR-CREAM-&-ONION 8
P STARBURST 4
P STARBURST 9
R MILKY-WAY 3
R TROPICANA-ORANGE-JUICE 8
K WHAT-A-MATRAKA
R PRINGLES-SOUR-CREAM-&-ONION 9
O HOSTESS-TWINKIES 7 10
R MILKY-WAY 4
R LAYS-CLASSIC 2
R OREO 10
R HARIBO-GOLD-BEARS 10
O SPRITE 7 2
R 3-MUSKETEERS 9
R MONSTER-ENERGY 9
O TIC-TAC-ORANGE 4 5
R DR-PEPPER 10
M 7
R STARBUCKS-FRAPPUCCINO 7
R MOUNTAIN-DEW 5
P CLIF-BAR-CHOCOLATE-CHIP 6
R CHEETOS-FLAMIN'-HOT 10
R EXTRA-PEPPERMINT-GUM 10
R SKITTLES 8
R TRIDENT-SPEARMINT-GUM 2
M 2
R DORITOS-NACHO-CHEESE 10
R SNICKERS 3
R MILKY-WAY 9
R KIND-BAR-DARK-CHOCOLATE-NUT 8
K WHAT-A-MATRAKA
O CHEETOS-FLAMIN'-HOT 6 5
P SPRITE 2
R TRIDENT-SPEARMINT-GUM 4
R FIJI-WATER 8
P HOSTESS-TWINKIES 3
R POCKY-CHOCOLATE 6
R EXTRA-PEPPERMINT-GUM 2
R POWERADE 2
O FIJI-WATER 6 8
K WHAT-A-MATRAKA
R CHEETOS-CRUNCHY 6
P ALTOIDS-PEPPERMINT 2
R PEPSI 5
R MENTOS-FRUIT 4
R DASANI-WATER 6
O POCKY-CHOCOLATE 3 9
R SKITTLES 2
M 9
R HOSTESS-DONETTES-POWDERED 2
R KIND-BAR-DARK-CHOCOLATE-NUT 2
P TWIX 8
P LAYS-BARBECUE 5
O TASTYKAKE-HONEY-BUN 3 7
R GATORADE 4
R KIT-KAT 7
R HOSTESS-TWINKIES 1
R CHEETOS-FLAMIN'-HOT 3
R PRINGLES-ORIGINAL 1
P TIC-TAC-ORANGE 2
P AQUAFINA-WATER 6
K WHAT-A-MATRAKA
O EXTRA-PEPPERMINT-GUM 10 1
P SPRITE 3
R CHEETOS-FLAMIN'-HOT 8
P RED-BULL 7
P HARIBO-GOLD-BEARS 2
M 8
R LAYS-CLASSIC 9
R RED-BULL 10
