K WHAT-A-MATRAKA
R POCKY-CHOCOLATE 8
R TASTYKAKE-HONEY-BUN 5
R CHEETOS-CRUNCHY 7
O OREO 3 5
R PRINGLES-ORIGINAL 8
R LAYS-CLASSIC 4
O POCKY-CHOCOLATE 7 4
R PRINGLES-ORIGINAL 9
R MILKY-WAY 6
R M&M 7
P POCKY-CHOCOLATE 9
K WHAT-A-MATRAKA
R ALTOIDS-PEPPERMINT 10
R CHEETOS-CRUNCHY 10
M 3
M 7
R EXTRA-PEPPERMINT-GUM 5
R DORITOS-COOL-RANCH 1
R TIC-TAC-ORANGE 2
R NESQUIK-CHOCOLATE-MILK 5
R MONSTER-ENERGY 8
R FANTA-ORANGE 10
R HARIBO-GOLD-BEARS 6
O CLIF-BAR-CHOCOLATE-CHIP 5 7
R LIFE-SAVERS-GUMMIES 8
R FIJI-WATER 6
M 10
R CLIF-BAR-CHOCOLATE-CHIP 8
R PRINGLES-SOUR-CREAM-&-ONION 6
R HARIBO-GOLD-BEARS 4
R DR-PEPPER 2
M 8
R FANTA-ORANGE 1
O ALTOIDS-PEPPERMINT 9 1
R MOUNTAIN-DEW 9
R PEPSI 2
R SPRITE 6
R DR-PEPPER 6
K WHAT-A-MATRAKA
R STARBURST 3
R LAYS-BARBECUE 9
R FIJI-WATER 2
R MILKY-WAY 8
P AQUAFINA-WATER 8
R SPRITE 3
R DORITOS-COOL-RANCH 2
R 3-MUSKETEERS 10
K WHAT-A-MATRAKA
P CHEETOS-FLAMIN'-HOT 4
R TASTYKAKE-HONEY-BUN 6
R POCKY-CHOCOLATE 2
P PEPSI 4
P LIFE-SAVERS-GUMMIES 7
R NESTEA-LEMON-TEA 3
R PRINGLES-ORIGINAL 5
R RED-BULL 7
P TRIDENT-SPEARMINT-GUM 4
O MILKY-WAY 4 5
O ALTOIDS-PEPPERMINT 2 1
R PLANET-OATS-CHOCOLATE-MILK 7
M 6
R OREO 6
R RED-BULL 7
P COCA-COLA 4
R LAYS-BARBECUE 8
K WHAT-A-MATRAKA
P MOUNTAIN-DEW 9
R LIFE-SAVERS-GUMMIES 3
R MOUNTAIN-DEW 1
R TASTYKAKE-HONEY-BUN 3
M 7
M 1
P TWIX 7
P SNICKERS 6
R PRINGLES-SOUR-CREAM-&-ONION 10
P POWERADE 3
R LAYS-CLASSIC 5
O MENTOS-FRUIT 9 5
R MENTOS-FRUIT 9
O KIT-KAT 7 5
R RED-BULL 7
R CHEETOS-FLAMIN'-HOT 6
R STARBUCKS-FRAPPUCCINO 5
O HARIBO-GOLD-BEARS 5 7
R PLANET-OATS-CHOCOLATE-MILK 2
R DORITOS-NACHO-CHEESE 10
O RITZ-CRACKERS 10 1
P TWIX 9
R KIND-BAR-DARK-CHOCOLATE-NUT 1
R LIFE-SAVERS-GUMMIES 4
P PRINGLES-ORIGINAL 1
R SNICKERS 8
R NESTEA-LEMON-TEA 4
P DASANI-WATER 2
P LAYS-BARBECUE 3
O 3-MUSKETEERS 9 4
M 7
R TIC-TAC-ORANGE 10
R MONSTER-ENERGY 1
R STARBUCKS-FRAPPUCCINO 2
P POCKY-CHOCOLATE 1
R DORITOS-NACHO-CHEESE 5
M 7
R MONSTER-ENERGY 2
R MOUNTAIN-DEW 10
K WHAT-A-MATRAKA
M 7
M 7
O DR-PEPPER 2 5
R PEPSI 8
M 4
