K WHAT-A-MATRAKA
R OREO 9
R DASANI-WATER 10
O 3-MUSKETEERS 9 7
R SMARTWATER 5
P NESTEA-LEMON-TEA 4
R KIT-KAT 8
R DR-PEPPER 8
K WHAT-A-MATRAKA
K WHAT-A-MATRAKA
R MOUNTAIN-DEW 8
R RED-BULL 10
R SKITTLES 2
O DORITOS-COOL-RANCH 8 1
O LIFE-SAVERS-GUMMIES 7 7
R AQUAFINA-WATER 10
P CHEETOS-CRUNCHY 10
P CHEETOS-CRUNCHY 1
O LIFE-SAVERS-GUMMIES 9 10
R CLIF-BAR-CHOCOLATE-CHIP 3
P DR-PEPPER 1
R NESQUIK-CHOCOLATE-MILK 1
R POCKY-CHOCOLATE 3
R STARBUCKS-FRAPPUCCINO 3
P RED-BULL 2
P STARBURST 5
R KIND-BAR-DARK-CHOCOLATE-NUT 9
R LIFE-SAVERS-GUMMIES 10
R CHEETOS-FLAMIN'-HOT 6
P OREO 1
R PEPSI 5
P LIFE-SAVERS-GUMMIES 3
R HOSTESS-TWINKIES 1
R TASTYKAKE-HONEY-BUN 1
R OREO 7
P RITZ-CRACKERS 2
R NESTEA-LEMON-TEA 5
R CLIF-BAR-CHOCOLATE-CHIP 8
P GATORADE 3
P HOSTESS-DONETTES-POWDERED 7
P TRIDENT-SPEARMINT-GUM 4
R OREO 7
R SKITTLES 2
R PRINGLES-ORIGINAL 3
R PLANET-OATS-CHOCOLATE-MILK 3
R KIND-BAR-DARK-CHOCOLATE-NUT 2
M 4
R RED-BULL 5
O SNICKERS 5 8
R OREO 4
R CHEETOS-CRUNCHY 1
R TASTYKAKE-HONEY-BUN 4
R FANTA-ORANGE 5
P POWERADE 6
P DASANI-WATER 2
O DASANI-WATER 8 6
P HARIBO-GOLD-BEARS 4
O SMARTWATER 10 3
R SNICKERS 2
R POCKY-CHOCOLATE 2
O CHEETOS-FLAMIN'-HOT 6 9
R 3-MUSKETEERS 6
R CLIF-BAR-CHOCOLATE-CHIP 4
R POWERADE 3
R TIC-TAC-ORANGE 10
R LAYS-BARBECUE 5
R CLIF-BAR-CHOCOLATE-CHIP 9
O SMARTWATER 8 3
P SPRITE 4
M 8
R 3-MUSKETEERS 8
R GATORADE 1
M 5
R MENTOS-FRUIT 9
R PEPSI 3
R EXTRA-PEPPERMINT-GUM 6
R KIT-KAT 4
K WHAT-A-MATRAKA
P CHEETOS-CRUNCHY 9
O NESQUIK-CHOCOLATE-MILK 9 3
P PLANET-OATS-CHOCOLATE-MILK 8
R COCA-COLA 4
R STARBURST 5
R MOUNTAIN-DEW 7
P TIC-TAC-ORANGE 1
M 1
M 1
R MILKY-WAY 7
M 3
R DORITOS-COOL-RANCH 10
R MOUNTAIN-DEW 10
M 8
R PLANET-OATS-CHOCOLATE-MILK 6
R TRIDENT-SPEARMINT-GUM 1
R KIND-BAR-DARK-CHOCOLATE-NUT 4
P SKITTLES 4
O KIND-BAR-DARK-CHOCOLATE-NUT 7 7
P NUTRI-GRAIN-STRAWBERRY 4
R POCKY-CHOCOLATE 9
R PLANET-OATS-CHOCOLATE-MILK 9
R LAYS-BARBECUE 2
P OREO 8
R PRINGLES-ORIGINAL 9
R MONSTER-ENERGY 10
R ALTOIDS-PEPPERMINT 7
R GATORADE 6
P FANTA-ORANGE 4
R EXTRA-PEPPERMINT-GUM 1
R M&M 1
P LIFE-SAVERS-GUMMIES 6
R TWIX 1
R ALTOIDS-PEPPERMINT 9
P HARIBO-GOLD-BEARS 3
R TROPICANA-ORANGE-JUICE 9
R CLIF-BAR-CHOCOLATE-CHIP 7
P SPRITE 4
M 2
P POWERADE 1
R HOSTESS-DONETTES-POWDERED 9
R PEPSI 7
O SPRITE 5 9
