M 2
R TRIDENT-SPEARMINT-GUM 9
R TWIX 8
P FANTA-ORANGE 10
R HOSTESS-TWINKIES 5
R TASTYKAKE-HONEY-BUN 10
R LAYS-CLASSIC 3
R HOSTESS-TWINKIES 6
R PLANET-OATS-CHOCOLATE-MILK 2
R GATORADE 3
P MOUNTAIN-DEW 9
R LAYS-BARBECUE 7
R M&M 5
P POWERADE 4
R SNICKERS 10
R MONSTER-ENERGY 8
P SNICKERS 9
R RITZ-CRACKERS 10
P MILKY-WAY 1
M 4
O DORITOS-NACHO-CHEESE 6 4
O KIND-BAR-DARK-CHOCOLATE-NUT 7 2
O EXTRA-PEPPERMINT-GUM 3 3
R PRINGLES-SOUR-CREAM-&-ONION 5
R CHEETOS-FLAMIN'-HOT 3
K WHAT-A-MATRAKA
P KIND-BAR-DARK-CHOCOLATE-NUT 10
R FANTA-ORANGE 1
R MILKY-WAY 5
R RITZ-CRACKERS 8
P HOSTESS-DONETTES-POWDERED 1
K WHAT-A-MATRAKA
R HOSTESS-DONETTES-POWDERED 1
P CHEETOS-FLAMIN'-HOT 6
R FIJI-WATER 5
O AQUAFINA-WATER 5 7
R SKITTLES 5
R MONSTER-ENERGY 8
O SUN-CHIPS-HARVEST-CHEDDAR 10 3
P LAYS-CLASSIC 2
R RITZ-CRACKERS 9
R NESQUIK-CHOCOLATE-MILK 7
R CHEETOS-CRUNCHY 1
R NESTEA-LEMON-TEA 7
P HOSTESS-TWINKIES 2
M 6
P TRIDENT-SPEARMINT-GUM 6
R HOSTESS-TWINKIES 3
R PRINGLES-ORIGINAL 3
R NUTRI-GRAIN-STRAWBERRY 10
R POCKY-CHOCOLATE 3
R RED-BULL 9
R NESQUIK-CHOCOLATE-MILK 2
R LIFE-SAVERS-GUMMIES 7
P MOUNTAIN-DEW 7
R PRINGLES-ORIGINAL 2
R POWERADE 4
O HARIBO-GOLD-BEARS 4 9
R PEPSI 2
R DASANI-WATER 7
O NESQUIK-CHOCOLATE-MILK 7 2
R LAYS-BARBECUE 2
R ALTOIDS-PEPPERMINT 7
P STARBURST 9
R KIT-KAT 7
R MILKY-WAY 7
R MONSTER-ENERGY 1
R CLIF-BAR-CHOCOLATE-CHIP 6
K WHAT-A-MATRAKA
R HOSTESS-DONETTES-POWDERED 4
P MOUNTAIN-DEW 1
R LAYS-CLASSIC 9
R MONSTER-ENERGY 3
R DORITOS-NACHO-CHEESE 2
R TIC-TAC-ORANGE 5
P TIC-TAC-ORANGE 7
P CLIF-BAR-CHOCOLATE-CHIP 6
R DORITOS-NACHO-CHEESE 5
R CHEETOS-CRUNCHY 9
K WHAT-A-MATRAKA
R NESQUIK-CHOCOLATE-MILK 9
P SMARTWATER 2
O KIND-BAR-DARK-CHOCOLATE-NUT 6 6
P SKITTLES 3
R TROPICANA-ORANGE-JUICE 9
R DORITOS-COOL-RANCH 1
K WHAT-A-MATRAKA
M 3
R EXTRA-PEPPERMINT-GUM 1
R LAYS-BARBECUE 7
P LIFE-SAVERS-GUMMIES 10
O PRINGLES-ORIGINAL 3 9
R GATORADE 8
K WHAT-A-MATRAKA
M 2
R PRINGLES-SOUR-CREAM-&-ONION 2
P KIT-KAT 7
R RITZ-CRACKERS 8
R SUN-CHIPS-HARVEST-CHEDDAR 9
R TRIDENT-SPEARMINT-GUM 5
R ALTOIDS-PEPPERMINT 8
K WHAT-A-MATRAKA
O MOUNTAIN-DEW 7 5
R GATORADE 9
